,stockCode,maxDrawdownDay,maxDrawdownHour,maxDrawdownMinute,slope,intercept,R^2,p,stdError
95,300299,0.2831460674157304,0.2932584269662922,0.11489361702127654,0.06798609625668448,5.046670588235293,0.960444139296345,5.123720995508458e-24,0.0024390150474263347
96,600016,0.06971153846153846,0.07637231503579958,0.007371007371007432,0.011894576012223065,3.725739495798319,0.9427395682418138,1.9216668603913787e-21,0.0005182095572152607
97,600079,0.07521008403361341,0.07857142857142861,0.024916943521594598,0.08400122230710465,21.42715630252101,0.9170942259188414,7.260633912885257e-19,0.0044647384879655545
98,300610,0.10545129579982125,0.10784313725490204,0.05832549388523057,0.025023682200152785,10.006521008403363,0.9664226739739564,3.71265095190387e-25,0.0008245475871576179
99,600682,0.1496932515337424,0.17500000000000007,0.04676753782668499,0.037939648586707404,6.535142857142858,0.9716937933175609,2.4095913832647647e-26,0.0011447072598152743
100,603307,0.09718603439291307,0.11153846153846157,0.05437158469945361,0.17444033613445373,30.59555798319328,0.9414407322021305,2.7530572990150844e-21,0.007690830720139393
101,300819,0.15265760197775025,0.15698393077873912,0.0840108401084011,0.07475874713521773,12.633304201680673,0.9324604213414964,2.7112552638900825e-20,0.003556730796335108
102,300074,0.1502890173410405,0.15192307692307694,0.11693548387096776,0.018103743315508024,4.4453764705882355,0.9112730852641651,2.1567461349038543e-18,0.0009986120736833186
103,603551,0.08235294117647061,0.0869565217391305,0.03625110521662247,0.02844186401833459,10.604944537815125,0.9020830863071337,1.0488094341475508e-17,0.0016564893751561608
104,2732,0.13387533875338747,0.13387533875338747,0.04619076184763055,0.057868449197860994,15.521376470588237,0.9276623282354138,8.149282889337577e-20,0.002856631085616865
105,300126,0.1635802469135803,0.1635802469135803,0.11056105610561055,0.021403361344537828,5.616697478991597,0.910945417725797,2.2881600379311758e-18,0.0011830114608942174
106,2267,0.05046948356807509,0.059302325581395324,0.019417475728155355,0.01674132925897631,7.782003361344536,0.9139841010283273,1.3108972660020624e-18,0.0009078936833502124
107,600734,0.15760869565217392,0.1598272138228941,0.08486238532110094,0.03405103132161955,3.441393277310924,0.9331623636846547,2.2930893755939368e-20,0.0016109691180752545
108,2696,0.18000000000000002,0.18000000000000002,0.08566108007448789,0.021255767761650113,5.054544537815126,0.9082141967885492,3.7153924842625655e-18,0.0011945254867792878
109,688787,0.17445620223398006,0.22971645143177985,0.1092233009708738,1.5678814362108477,61.33189747899159,0.9034735869578154,8.33678938798063e-18,0.09059486510008131
110,605303,0.17959183673469403,0.19277108433734955,0.09049773755656117,0.03729640947288005,8.072579831932774,0.923724346243229,1.9068989858982164e-19,0.0018945837555905255
111,300264,0.2280701754385965,0.27732079905992946,0.09734513274336284,0.04070190985485103,6.0351831932773115,0.9174845520825405,6.731249965287259e-19,0.002157784401819859
112,2121,0.13024282560706407,0.1359649122807017,0.06150793650793643,0.025789915966386558,4.101201680672268,0.9520535402279922,1.1171350311870173e-22,0.0010231104594154506
113,3005,0.211135611907387,0.211135611907387,0.07110389610389614,0.20985592055003816,26.686230252100838,0.9277476073712576,7.996574576156413e-20,0.01035279065578651
114,600228,0.17730496453900718,0.1997716894977169,0.056135770234986906,0.06355034377387318,6.042389915966387,0.9358268164942583,1.1944293669887954e-20,0.00294185974919168
115,300335,0.13937282229965153,0.14384748700173297,0.08178438661710027,0.017172192513368996,5.027247058823528,0.9108784531972421,2.315924823299332e-18,0.0009495370228696593
116,300533,0.22673559822747405,0.23464912280701747,0.0721603563474388,0.23028861726508784,18.329384873949582,0.956584596458436,2.2768506571025883e-23,0.008672767667999633
117,600128,0.16424116424116425,0.17368961973278532,0.05076741440377821,0.040306493506493506,7.9781193277310924,0.9118014622346045,1.9596443138396734e-18,0.0022160552262412503
118,300027,0.180281690140845,0.2027397260273972,0.07051282051282057,0.0170340718105424,2.8829378151260507,0.903362012743359,8.492807035092448e-18,0.0009848872393659538
119,301303,0.06911314984709484,0.071951219512195,0.0626506024096386,0.06353109243697477,13.878589915966387,0.9109574026155092,2.2832239273363e-18,0.003511245611105145
120,2201,0.15933232169954475,0.15933232169954475,0.08774834437086097,0.029935523300229173,5.231946218487396,0.9804138372871227,6.625259318542594e-29,0.0007479659508798817
121,688669,0.15106260769672605,0.15565766800689262,0.05352480417754571,0.13765867074102367,12.189455462184874,0.901751390917063,1.1073130670570435e-17,0.008032456409001647
122,969,0.10799999999999994,0.10918774966711044,0.04304160688665708,0.020743773873185625,6.695963025210084,0.9232074939878714,2.1250443349566316e-19,0.0010576026735971357
123,301123,0.11306901615271653,0.09569377990430622,0.05512172714745059,0.04529885408708941,19.365245378151265,0.901200390335173,1.2113111233561003e-17,0.00265142383207092
124,600551,0.08556701030927837,0.0930470347648262,0.039173014145810606,0.04031917494270436,8.105233613445378,0.9279746222160801,7.603038371745422e-20,0.001985689640329392
125,871245,0.16763005780346826,0.15441539220522935,0.07117647058823534,0.5285552330022919,15.441485714285712,0.9623667026909151,2.306537818639804e-24,0.018476990239721436
126,1202,0.19412822049131226,0.19412822049131226,0.05492957746478869,0.07757463712757831,12.849018487394959,0.9131208394356988,1.5386893311379849e-18,0.004229981270379531
127,688679,0.151085141903172,0.15811258278145696,0.06057781919850888,0.06236990068754773,9.231455462184876,0.9223793322246335,2.523987156736304e-19,0.00319840878118733
128,300612,0.11767955801104976,0.13532608695652165,0.08113590263691674,0.09539648586707408,16.199428571428573,0.9502038408462855,2.048947553453734e-22,0.0038605298966146793
129,600854,0.1480804387568555,0.1480804387568555,0.06813627254509015,0.01785821237585942,4.729986554621848,0.9299440317319669,4.874265673167773e-20,0.0008664772380899406
130,603329,0.11126564673157172,0.11618257261410798,0.06857942617214827,0.032540718105424,13.016813445378151,0.9772466196683312,7.301439650437514e-28,0.0008777544061699281
131,2905,0.17001055966209083,0.17001055966209083,0.07201889020070841,0.07523193277310924,6.451584873949581,0.9728890204302821,1.2075611503928351e-26,0.002220077748483963
132,301069,0.10443571027512631,0.15027027027027023,0.058579881656804646,0.08580244461420934,13.91758319327731,0.927832726201156,7.846832489367728e-20,0.0042301910191203385
133,417,0.18356164383561643,0.18767123287671234,0.04220779220779217,0.05425255920550039,4.997391596638654,0.9113181315540115,2.1392436432893617e-18,0.0029917662061359628
