,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,均价,MA20,加权均价,区间长度,累计涨幅,日均涨幅,回归系数_3,回归系数_2,回归系数_1,回归系数_0,回归系数_3_abs,回归系数_2_abs,回归系数_1_abs,回归系数_0_abs,回归系数_3_sign,回归系数_2_sign,回归系数_1_sign,回归系数_0_sign,R2,MSE,绝对极值残差_mean,绝对极值残差_std,极值残差_max,极值残差_min,label,一阶导值,二阶导值
count,280728,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,280728.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,235706.0,280728.0,235706.0,235706.0
mean,2021-03-25 06:43:52.675044352,23.037173356416172,23.200857880225698,23.77853780883987,22.501387581573624,189376.05712647116,325623079.10477793,4.998011954632243,0.7378517283633982,0.1597679568835314,3.2167717149696498,23.13996269520675,21.50928229326964,23.170410287716223,36.38314311361888,0.3855972221916965,0.009740918400964258,5.916900571585323e-05,-0.00017652164699925738,0.12950884888331096,16.887209100915555,0.0006401371206287078,0.01905913044393812,0.2274777747786317,16.887250837641673,-0.03242174573409247,0.07420260833411114,0.3794981884211687,0.9988969309224203,0.917245642449482,1.8278194956997509,0.03613300381597871,0.02791491877755529,0.08542231162858091,-0.07409945507730965,0.07843891596135762,0.2042433542338783,33.77760644710817
min,2019-01-29 00:00:00,-0.067,-0.066,-0.058,-0.069,0.0,10.0,-700.0,-700.0,-138.53,0.0,-0.0635,-0.08032500000000001,-0.06425,1.0,-16.385542168674704,-0.20700985761226728,-0.14151161338978033,-6.041680922250036,-12.580753608000665,-0.06376300594895361,2.3820027174060473e-11,6.513336130794701e-09,6.893560024805973e-08,0.001372087786578031,-1.0,-1.0,-1.0,-1.0,0.018923885167746457,2.293496745741665e-08,0.0009708610364851562,0.00015049766254104292,0.0017951228723219778,-442.218191752556,0.0,-17.84933006858674,-0.12430552523110006
25%,2020-02-27 00:00:00,6.53,6.57,6.7,6.41,27471.0,45081780.027499996,2.89,-1.23,-0.13,0.95,6.555,6.18775,6.5600000000000005,16.0,0.09293070930914257,0.004452772966815779,-9.460512953663613e-05,-0.004061878461448306,-0.014161148359261423,5.295092268954107,2.2879797116266964e-05,0.0015682881846527251,0.02851729455358172,5.295092268954107,-1.0,-1.0,-1.0,1.0,0.901116973749856,0.006772418992743386,0.018539111270834557,0.01077704062239087,0.0337407611972317,-0.08236806732643008,0.0,-0.00326543082792844,10.588869463150896
50%,2021-04-19 00:00:00,11.68,11.75,12.03,11.43,72173.0,117204998.0,4.26,0.38,0.03,1.92,11.725000000000001,10.97325,11.74,32.0,0.2330406115347168,0.007624138001062823,-1.7468942748263848e-06,0.0003463926288480454,0.03809669776671466,9.16764822701855,9.05297812895538e-05,0.004905992193303627,0.07665476631348778,9.16764822701855,-1.0,1.0,1.0,1.0,0.9396826094536909,0.04367906625649647,0.02866665699489,0.017980307967644896,0.05714127237025527,-0.0532670218195084,0.0,0.05908679610876033,18.33385309780447
75%,2022-06-09 00:00:00,23.1,23.26,23.82,22.58,186661.5,304504664.2025,6.32,2.34,0.28,3.89,23.2,21.595062499999997,23.215,51.0,0.4800968711519129,0.012280643975899437,8.619576861231039e-05,0.005723589992977283,0.1405531194145325,17.160744239042444,0.0003634520415245826,0.014925810086892173,0.20095511806753874,17.160744239042444,1.0,1.0,1.0,1.0,0.9646347944891064,0.28889689169394406,0.04296468826570898,0.028145944836066472,0.09134161120030812,-0.032484170957748554,0.0,0.214151190631107,34.333704204397925
max,2023-12-29 00:00:00,1619.34,1619.34,1624.35,1585.75,41144530.0,20262833664.0,266.67,342.86,88.0,82.18,1602.565,1512.491,1603.7649999999999,220.0,17.595505617977526,0.516949152542373,0.32384941506531817,2.0763435930619623,41.35354337958195,984.2130720182802,0.32384941506531817,6.041680922250036,41.35354337958195,984.2130720182802,1.0,1.0,1.0,1.0,0.9997661336428998,2330.646752487868,85.24375836977163,321.7794774962888,1331.2735806315675,-0.0012729321969483518,1.0,31.140035846927944,1968.4144860179758
std,,43.53480449650013,43.83331271156609,44.8583286613368,42.54394797760681,499924.2424532465,710718293.9001213,3.9857080469623782,4.169562729655978,1.8902634426872063,4.011395868566244,43.69488424927347,40.56079430895714,43.76167424297314,25.86480965373665,0.5735191882059741,0.010424356876612676,0.003169707281816718,0.07061510819841745,0.6491322230801524,31.095301765524127,0.003104958609510853,0.06799465178597484,0.621609924778511,31.095279099047225,0.9994763971876701,0.997245301893153,0.9251944425704195,0.04695669013410089,0.08243649521242105,19.912645573240997,0.2514120156064662,0.8500544128911743,3.026105432763622,1.4712464979839468,0.26886150695252076,0.7879950496839682,62.209464510064876
